icd10_code,icd10_description
M54.5,Low back pain
M25.561,Pain in right knee
M75.101,"Rotator cuff tear, right"
S83.511A,"Sprain of ACL, right knee"
M54.2,Cervicalgia
M17.11,"Osteoarthritis, right knee"
M62.830,Muscle spasm of back
G56.01,"Carpal tunnel, right"
M25.511,Pain in right shoulder
S93.401A,"Sprain of ankle, right"
